DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
14-Dec-2023,EQ,"3,630.00","3,678.00","3,627.60","3,593.55","3,670.00","3,667.25","3,664.15","3,698.40","3,070.25",3290396,"12,05,64,88,520.30",217977
13-Dec-2023,EQ,"3,643.55","3,650.00","3,563.00","3,672.10","3,597.00","3,593.55","3,596.72","3,698.40","3,070.25",3850968,"13,85,08,61,323.25",307799
12-Dec-2023,EQ,"3,638.95","3,698.40","3,631.00","3,642.90","3,665.50","3,672.10","3,673.19","3,698.40","3,070.25",2236866,"8,21,64,32,575.75",193557
11-Dec-2023,EQ,"3,622.90","3,653.00","3,615.00","3,626.70","3,643.00","3,642.90","3,638.96","3,679.00","3,070.25",1102503,"4,01,19,62,538.60",79129
08-Dec-2023,EQ,"3,633.00","3,645.00","3,602.05","3,614.90","3,625.00","3,626.70","3,622.26","3,679.00","3,070.25",1641155,"5,94,46,90,506.00",111965
07-Dec-2023,EQ,"3,605.00","3,630.55","3,591.70","3,604.10","3,618.00","3,614.90","3,615.53","3,679.00","3,070.25",1967653,"7,11,41,13,153.35",169670
06-Dec-2023,EQ,"3,532.60","3,612.85","3,525.15","3,531.60","3,600.60","3,604.10","3,573.48","3,679.00","3,070.25",1896572,"6,77,73,60,136.50",109178
05-Dec-2023,EQ,"3,538.00","3,538.00","3,502.80","3,512.45","3,533.60","3,531.60","3,520.66","3,679.00","3,070.25",1377656,"4,85,02,57,950.20",74749
04-Dec-2023,EQ,"3,544.65","3,547.80","3,498.00","3,511.65","3,514.45","3,512.45","3,514.58","3,679.00","3,070.25",1625213,"5,71,19,34,381.15",105864
01-Dec-2023,EQ,"3,500.00","3,516.95","3,490.05","3,487.60","3,512.00","3,511.65","3,503.53","3,679.00","3,070.25",1172141,"4,10,66,36,662.55",90309
30-Nov-2023,EQ,"3,499.45","3,516.65","3,481.00","3,513.75","3,487.90","3,487.60","3,492.69","3,679.00","3,070.25",3266235,"11,40,79,56,559.40",136958
29-Nov-2023,EQ,"3,481.00","3,518.00","3,475.80","3,470.15","3,514.60","3,513.75","3,503.48","3,679.00","3,070.25",1441634,"5,05,07,29,225.70",140282
28-Nov-2023,EQ,"3,457.10","3,481.25","3,433.00","3,457.10","3,473.30","3,470.15","3,454.10","3,679.00","3,070.25",1689195,"5,83,46,49,202.90",120747
