DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
11-Feb-2025,EQ,"4,018.40","4,040.00","3,955.00","4,036.95","3,967.00","3,963.55","3,989.58","4,592.25","3,591.50",1810908,"7,22,47,58,107.05",121478
10-Feb-2025,EQ,"4,040.00","4,052.00","4,014.35","4,029.40","4,034.00","4,036.95","4,035.26","4,592.25","3,591.50",1339511,"5,40,52,79,190.45",133697
07-Feb-2025,EQ,"4,090.00","4,090.00","4,008.00","4,082.75","4,032.00","4,029.40","4,033.06","4,592.25","3,591.50",1548940,"6,24,69,65,406.40",177110
06-Feb-2025,EQ,"4,105.40","4,139.50","4,051.55","4,091.10","4,087.00","4,082.75","4,080.65","4,592.25","3,591.50",2284536,"9,32,23,89,842.50",183903
05-Feb-2025,EQ,"4,150.00","4,150.00","4,076.00","4,107.05","4,086.00","4,091.10","4,096.29","4,592.25","3,591.50",1693912,"6,93,87,52,665.75",130235
04-Feb-2025,EQ,"4,083.70","4,118.85","4,066.05","4,068.65","4,105.15","4,107.05","4,098.00","4,592.25","3,591.50",2547132,"10,43,81,41,551.80",141942
03-Feb-2025,EQ,"4,030.90","4,077.00","3,998.70","4,073.15","4,064.00","4,068.65","4,045.97","4,592.25","3,591.50",1265713,"5,12,10,41,211.00",155134
01-Feb-2025,EQ,"4,113.00","4,135.90","4,056.00","4,112.40","4,073.00","4,073.15","4,082.48","4,592.25","3,591.50",437172,"1,78,47,47,121.10",49186
31-Jan-2025,EQ,"4,110.00","4,128.45","4,085.25","4,100.05","4,114.15","4,112.40","4,106.05","4,592.25","3,591.50",1492943,"6,13,01,03,902.20",121858
30-Jan-2025,EQ,"4,099.90","4,129.90","4,058.50","4,099.80","4,100.00","4,100.05","4,098.87","4,592.25","3,591.50",1531251,"6,27,64,04,777.90",97767
29-Jan-2025,EQ,"4,054.00","4,107.85","4,054.00","4,040.30","4,105.00","4,099.80","4,091.12","4,592.25","3,591.50",1217089,"4,97,92,53,773.00",108284
28-Jan-2025,EQ,"4,070.80","4,102.00","4,028.30","4,065.15","4,040.00","4,040.30","4,057.30","4,592.25","3,591.50",2468272,"10,01,45,14,674.15",150121
27-Jan-2025,EQ,"4,102.00","4,156.35","4,041.05","4,152.35","4,067.00","4,065.15","4,088.62","4,592.25","3,591.50",1551782,"6,34,46,44,149.25",143859
24-Jan-2025,EQ,"4,104.00","4,178.00","4,104.00","4,145.45","4,153.10","4,152.35","4,155.62","4,592.25","3,591.50",1910099,"7,93,76,40,859.20",99760
