DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
16-Dec-20,EQ,"2,779.00","2,819.80","2,760.45","2,761.55","2,810.00","2,814.20","2,792.39","2,885.00","1,506.05",2565149,"7,16,28,92,179.05",109504
15-Dec-20,EQ,"2,786.00","2,794.70","2,755.00","2,797.70","2,763.95","2,761.55","2,768.65","2,885.00","1,506.05",2365509,"6,54,92,73,569.60",152067
14-Dec-20,EQ,"2,802.00","2,804.00","2,756.25","2,783.60","2,796.55","2,797.70","2,787.40","2,885.00","1,506.05",2483658,"6,92,29,52,988.10",112781
11-Dec-20,EQ,"2,792.70","2,807.70","2,764.55","2,784.30","2,782.00","2,783.60","2,789.22","2,885.00","1,506.05",1795408,"5,00,77,81,485.00",90719
10-Dec-20,EQ,"2,818.00","2,827.30","2,780.25","2,810.80","2,784.80","2,784.30","2,794.17","2,885.00","1,506.05",2127801,"5,94,54,38,936.55",106653
09-Dec-20,EQ,"2,815.00","2,840.00","2,793.15","2,797.30","2,812.05","2,810.80","2,817.31","2,885.00","1,506.05",3659996,"10,31,13,51,385.55",147222
08-Dec-20,EQ,"2,740.00","2,805.55","2,732.45","2,737.70","2,795.00","2,797.30","2,771.25","2,885.00","1,506.05",4277818,"11,85,49,14,854.55",273215
07-Dec-20,EQ,"2,715.00","2,744.00","2,706.15","2,727.55","2,741.00","2,737.70","2,721.02","2,885.00","1,506.05",1996400,"5,43,22,46,145.90",111040
04-Dec-20,EQ,"2,710.80","2,738.85","2,699.00","2,709.45","2,723.00","2,727.55","2,722.95","2,885.00","1,506.05",2686527,"7,31,52,91,484.55",121585
03-Dec-20,EQ,"2,773.90","2,773.90","2,700.80","2,749.55","2,710.00","2,709.45","2,728.72","2,885.00","1,506.05",2852548,"7,78,38,10,980.40",121400
02-Dec-20,EQ,"2,719.00","2,754.70","2,702.45","2,726.80","2,745.50","2,749.55","2,727.49","2,885.00","1,506.05",2509032,"6,84,33,51,199.50",106756
01-Dec-20,EQ,"2,679.00","2,735.90","2,624.45","2,679.65","2,729.00","2,726.80","2,695.43","2,885.00","1,506.05",3605017,"9,71,70,83,002.65",153842
27-Nov-20,EQ,"2,705.00","2,717.70","2,669.05","2,720.60","2,678.00","2,679.65","2,684.61","2,885.00","1,506.05",6086808,"16,34,06,91,429.60",168842
26-Nov-20,EQ,"2,686.00","2,730.95","2,680.00","2,701.30","2,730.00","2,720.60","2,703.16","2,885.00","1,506.05",2341099,"6,32,83,69,462.20",103635
25-Nov-20,EQ,"2,729.00","2,732.95","2,688.20","2,722.05","2,700.00","2,701.30","2,707.81","2,885.00","1,506.05",3302249,"8,94,18,71,533.30",163422
24-Nov-20,EQ,"2,734.40","2,743.00","2,705.00","2,724.25","2,726.00","2,722.05","2,724.87","2,885.00","1,506.05",3120516,"8,50,29,92,372.30",148092
23-Nov-20,EQ,"2,690.00","2,730.00","2,665.00","2,660.25","2,727.25","2,724.25","2,706.23","2,885.00","1,506.05",3706418,"10,03,04,30,979.80",150378
20-Nov-20,EQ,"2,655.00","2,676.00","2,627.55","2,636.90","2,657.80","2,660.25","2,657.32","2,885.00","1,506.05",2711471,"7,20,52,37,904.70",118196
19-Nov-20,EQ,"2,637.00","2,676.15","2,630.85","2,626.65","2,640.25","2,636.90","2,648.32","2,885.00","1,506.05",4167501,"11,03,68,55,515.70",178640
18-Nov-20,EQ,"2,661.00","2,664.20","2,607.05","2,666.05","2,626.00","2,626.65","2,625.58","2,885.00","1,506.05",2893762,"7,59,77,89,756.35",136273
17-Nov-20,EQ,"2,695.00","2,695.00","2,650.05","2,670.35","2,661.25","2,666.05","2,670.80","2,885.00","1,506.05",2827273,"7,55,10,68,267.15",134996
14-Nov-20,EQ,"2,677.95","2,689.00","2,660.05","2,656.85","2,673.25","2,670.35","2,669.67","2,885.00","1,506.05",298819,"79,77,48,788.00",20530
13-Nov-20,EQ,"2,655.75","2,664.90","2,636.00","2,671.05","2,661.20","2,656.85","2,650.87","2,885.00","1,506.05",2548093,"6,75,46,56,102.70",111018
12-Nov-20,EQ,"2,686.00","2,713.00","2,661.75","2,687.80","2,674.75","2,671.05","2,679.78","2,885.00","1,506.05",2437505,"6,53,19,86,739.75",100997
11-Nov-20,EQ,"2,667.95","2,692.80","2,643.40","2,649.60","2,687.50","2,687.80","2,669.85","2,885.00","1,506.05",3242441,"8,65,68,31,441.85",168899
10-Nov-20,EQ,"2,697.20","2,713.15","2,638.35","2,726.60","2,653.95","2,649.60","2,663.45","2,885.00","1,506.05",4760020,"12,67,80,56,831.10",240272
09-Nov-20,EQ,"2,731.10","2,744.00","2,695.10","2,707.45","2,726.00","2,726.60","2,720.53","2,885.00","1,506.05",3646592,"9,92,06,61,493.20",162134
06-Nov-20,EQ,"2,699.00","2,713.25","2,681.30","2,685.70","2,711.00","2,707.45","2,699.35","2,885.00","1,506.05",3884421,"10,48,54,27,441.60",132771
05-Nov-20,EQ,"2,685.00","2,710.00","2,667.00","2,653.15","2,688.00","2,685.70","2,688.19","2,885.00","1,506.05",2816502,"7,57,13,01,989.25",119199
04-Nov-20,EQ,"2,610.00","2,721.85","2,610.00","2,633.60","2,656.00","2,653.15","2,683.56","2,885.00","1,506.05",4893928,"13,13,31,44,835.10",210543
03-Nov-20,EQ,"2,604.00","2,665.00","2,601.05","2,604.60","2,629.00","2,633.60","2,635.01","2,885.00","1,506.05",2879269,"7,58,69,13,378.45",117355
