DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
11-Feb-2022,EQ,"3,752.50","3,752.50","3,690.00","3,770.35","3,693.00","3,694.95","3,703.65","4,043.00","2,880.00",3851488,"14,26,45,52,938.20",242420
10-Feb-2022,EQ,"3,789.80","3,789.80","3,758.00","3,760.55","3,765.70","3,770.35","3,771.41","4,043.00","2,880.00",2112459,"7,96,69,59,377.85",127158
09-Feb-2022,EQ,"3,750.00","3,777.95","3,746.10","3,743.45","3,761.65","3,760.55","3,761.99","4,043.00","2,880.00",1638721,"6,16,48,60,124.35",124222
08-Feb-2022,EQ,"3,791.55","3,799.70","3,721.00","3,779.00","3,738.00","3,743.45","3,741.49","4,043.00","2,880.00",2946443,"11,02,40,97,961.50",209984
07-Feb-2022,EQ,"3,791.00","3,831.80","3,756.15","3,814.90","3,781.80","3,779.00","3,791.19","4,043.00","2,880.00",1919149,"7,27,58,63,610.70",159690
04-Feb-2022,EQ,"3,815.30","3,824.70","3,769.00","3,824.60","3,818.00","3,814.90","3,804.03","4,043.00","2,880.00",2307366,"8,77,72,83,685.05",160651
03-Feb-2022,EQ,"3,851.00","3,882.50","3,816.05","3,856.20","3,819.00","3,824.60","3,850.57","4,043.00","2,880.00",1960538,"7,54,91,82,942.05",137513
02-Feb-2022,EQ,"3,827.90","3,864.00","3,800.65","3,800.65","3,863.00","3,856.20","3,841.31","4,043.00","2,880.00",1984212,"7,62,19,63,889.90",139468
01-Feb-2022,EQ,"3,770.00","3,808.00","3,736.40","3,736.25","3,805.00","3,800.65","3,781.44","4,043.00","2,880.00",2105169,"7,96,05,78,363.50",149564
31-Jan-2022,EQ,"3,749.00","3,758.00","3,721.40","3,690.05","3,744.95","3,736.25","3,741.03","4,043.00","2,880.00",2739393,"10,24,81,48,872.10",193114
28-Jan-2022,EQ,"3,646.00","3,729.80","3,646.00","3,649.25","3,697.85","3,690.05","3,702.94","4,043.00","2,880.00",3143862,"11,64,15,24,811.25",226989
27-Jan-2022,EQ,"3,731.00","3,733.40","3,625.10","3,769.90","3,652.00","3,649.25","3,669.10","4,043.00","2,880.00",5718297,"20,98,10,28,870.55",473910
25-Jan-2022,EQ,"3,769.50","3,809.40","3,722.20","3,771.35","3,765.00","3,769.90","3,763.15","4,043.00","2,880.00",3330501,"12,53,31,82,476.50",298567
24-Jan-2022,EQ,"3,840.00","3,849.65","3,740.10","3,833.50","3,769.95","3,771.35","3,783.08","4,043.00","2,880.00",3258414,"12,32,68,30,753.15",288359
21-Jan-2022,EQ,"3,807.00","3,851.55","3,771.10","3,826.55","3,840.00","3,833.50","3,820.58","4,043.00","2,880.00",3112358,"11,89,10,26,050.45",240408
20-Jan-2022,EQ,"3,910.00","3,920.00","3,811.00","3,914.65","3,833.15","3,826.55","3,843.03","4,043.00","2,880.00",6176776,"23,73,75,57,017.75",349194
19-Jan-2022,EQ,"4,012.00","4,012.00","3,910.50","3,990.60","3,914.70","3,914.65","3,937.16","4,043.00","2,880.00",3102539,"12,21,51,95,983.15",260043
18-Jan-2022,EQ,"4,033.95","4,041.70","3,980.00","4,019.15","3,993.95","3,990.60","4,009.82","4,043.00","2,880.00",2389041,"9,57,96,19,424.10",185771
17-Jan-2022,EQ,"3,992.70","4,043.00","3,962.30","3,968.15","4,025.00","4,019.15","4,010.33","4,043.00","2,880.00",3442604,"13,80,59,80,840.45",230947
14-Jan-2022,EQ,"3,877.85","3,977.00","3,860.05","3,897.90","3,965.35","3,968.15","3,924.25","3,989.90","2,880.00",3348123,"13,13,88,81,273.10",213960
13-Jan-2022,EQ,"3,918.00","3,923.00","3,857.00","3,859.90","3,898.00","3,897.90","3,891.72","3,989.90","2,880.00",6684507,"26,01,42,58,279.50",401435
12-Jan-2022,EQ,"3,925.00","3,929.00","3,836.55","3,915.90","3,857.00","3,859.90","3,874.16","3,989.90","2,880.00",3203744,"12,41,18,15,990.80",241232
11-Jan-2022,EQ,"3,856.00","3,925.00","3,856.00","3,879.85","3,917.00","3,915.90","3,896.96","3,989.90","2,880.00",1906106,"7,42,80,14,700.35",160870
10-Jan-2022,EQ,"3,978.00","3,978.00","3,861.00","3,853.50","3,884.00","3,879.85","3,897.84","3,989.90","2,880.00",3937092,"15,34,61,66,149.80",247085
07-Jan-2022,EQ,"3,820.00","3,864.90","3,796.40","3,807.45","3,858.90","3,853.50","3,839.03","3,989.90","2,880.00",2460591,"9,44,62,83,701.75",157006
06-Jan-2022,EQ,"3,812.00","3,835.00","3,772.00","3,860.95","3,809.95","3,807.45","3,802.98","3,989.90","2,880.00",1810293,"6,88,45,00,149.55",135529
05-Jan-2022,EQ,"3,865.00","3,870.00","3,812.40","3,884.75","3,856.00","3,860.95","3,847.67","3,989.90","2,880.00",1733031,"6,66,81,31,688.00",136018
04-Jan-2022,EQ,"3,831.10","3,889.15","3,811.70","3,817.75","3,878.70","3,884.75","3,859.30","3,989.90","2,880.00",2488606,"9,60,42,74,014.30",141253
03-Jan-2022,EQ,"3,750.00","3,830.00","3,745.00","3,738.35","3,815.00","3,817.75","3,807.43","3,989.90","2,880.00",2346158,"8,93,28,27,981.15",143798
31-Dec-2021,EQ,"3,742.80","3,760.00","3,731.30","3,733.75","3,740.00","3,738.35","3,744.51","3,989.90","2,845.00",1207141,"4,52,01,49,056.45",101227
30-Dec-2021,EQ,"3,681.35","3,740.00","3,680.00","3,694.70","3,737.00","3,733.75","3,725.52","3,989.90","2,845.00",1966475,"7,32,61,33,567.90",105274
29-Dec-2021,EQ,"3,692.25","3,719.95","3,685.00","3,706.55","3,688.05","3,694.70","3,704.90","3,989.90","2,845.00",1456923,"5,39,77,58,672.00",94120
28-Dec-2021,EQ,"3,710.00","3,725.00","3,693.85","3,696.10","3,706.95","3,706.55","3,713.05","3,989.90","2,845.00",1456218,"5,40,70,12,571.25",83968
27-Dec-2021,EQ,"3,671.00","3,700.00","3,653.10","3,670.90","3,696.50","3,696.10","3,684.66","3,989.90","2,845.00",1534135,"5,65,27,64,172.30",80828
24-Dec-2021,EQ,"3,685.00","3,705.00","3,644.80","3,662.70","3,671.00","3,670.90","3,673.31","3,989.90","2,785.00",2209923,"8,11,77,27,561.70",88664
23-Dec-2021,EQ,"3,648.00","3,670.50","3,630.00","3,630.75","3,660.65","3,662.70","3,656.52","3,989.90","2,785.00",1792861,"6,55,56,23,174.05",98445
22-Dec-2021,EQ,"3,624.00","3,636.80","3,606.25","3,608.30","3,628.30","3,630.75","3,625.84","3,989.90","2,785.00",1224328,"4,43,92,23,316.50",102255
21-Dec-2021,EQ,"3,582.65","3,641.20","3,566.40","3,556.90","3,611.00","3,608.30","3,617.22","3,989.90","2,785.00",2340989,"8,46,78,77,601.90",118423
20-Dec-2021,EQ,"3,589.00","3,606.00","3,510.15","3,584.35","3,559.30","3,556.90","3,569.27","3,989.90","2,785.00",2312310,"8,25,32,61,975.10",146094
17-Dec-2021,EQ,"3,602.50","3,651.35","3,573.70","3,581.60","3,574.90","3,584.35","3,608.90","3,989.90","2,755.00",4333992,"15,64,09,58,964.15",213460
16-Dec-2021,EQ,"3,582.00","3,608.45","3,570.00","3,570.35","3,585.00","3,581.60","3,582.96","3,989.90","2,755.00",2072320,"7,42,50,32,318.85",93950
15-Dec-2021,EQ,"3,620.00","3,623.00","3,558.15","3,623.80","3,571.00","3,570.35","3,575.02","3,989.90","2,755.00",1603233,"5,73,15,95,939.60",109534
14-Dec-2021,EQ,"3,605.00","3,635.00","3,576.70","3,609.65","3,619.95","3,623.80","3,618.04","3,989.90","2,755.00",1747007,"6,32,07,34,400.10",105436
13-Dec-2021,EQ,"3,650.00","3,662.00","3,601.70","3,636.80","3,615.00","3,609.65","3,626.62","3,989.90","2,755.00",1883864,"6,83,20,65,637.60",93875
10-Dec-2021,EQ,"3,585.00","3,642.00","3,575.10","3,601.75","3,630.00","3,636.80","3,611.25","3,989.90","2,706.15",1510718,"5,45,55,78,667.05",69648
09-Dec-2021,EQ,"3,610.00","3,634.75","3,566.00","3,626.90","3,600.00","3,601.75","3,593.64","3,989.90","2,706.15",1567957,"5,63,46,66,502.40",100995
08-Dec-2021,EQ,"3,601.00","3,646.45","3,601.00","3,584.50","3,624.00","3,626.90","3,631.02","3,989.90","2,706.15",1428660,"5,18,74,89,131.60",88625
