DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
10-Feb-2023,EQ,"3,520.00","3,542.35","3,508.15","3,540.85","3,528.15","3,537.55","3,530.08","3,854.10","2,926.10",1187821,"4,19,31,01,279.60",84631
09-Feb-2023,EQ,"3,515.00","3,547.60","3,505.30","3,520.10","3,543.95","3,540.85","3,534.02","3,854.10","2,926.10",1655427,"5,85,03,14,027.30",109544
08-Feb-2023,EQ,"3,478.05","3,539.90","3,478.05","3,472.55","3,520.00","3,520.10","3,525.10","3,854.10","2,926.10",1986946,"7,00,41,80,343.60",131473
07-Feb-2023,EQ,"3,468.90","3,493.00","3,461.40","3,459.95","3,467.00","3,472.55","3,478.55","3,854.10","2,926.10",1455647,"5,06,35,43,516.10",76997
06-Feb-2023,EQ,"3,473.15","3,473.15","3,436.85","3,482.30","3,464.90","3,459.95","3,457.05","3,854.10","2,926.10",1138714,"3,93,65,96,844.85",104578
03-Feb-2023,EQ,"3,504.00","3,504.00","3,452.90","3,460.40","3,475.00","3,482.30","3,483.20","3,882.50","2,926.10",1804469,"6,28,53,34,518.40",177332
02-Feb-2023,EQ,"3,427.00","3,469.00","3,420.10","3,408.35","3,461.00","3,460.40","3,449.08","3,882.50","2,926.10",1813847,"6,25,61,03,714.75",144428
01-Feb-2023,EQ,"3,363.00","3,419.00","3,355.00","3,358.70","3,398.00","3,408.35","3,383.69","3,882.50","2,926.10",2205161,"7,46,15,80,946.75",133318
31-Jan-2023,EQ,"3,449.00","3,449.00","3,351.00","3,433.65","3,358.50","3,358.70","3,371.06","3,882.50","2,926.10",2820375,"9,50,76,42,423.25",184017
30-Jan-2023,EQ,"3,420.00","3,458.45","3,385.55","3,411.05","3,432.00","3,433.65","3,423.78","3,882.50","2,926.10",1953798,"6,68,93,83,780.35",154180
27-Jan-2023,EQ,"3,426.00","3,446.00","3,382.30","3,429.75","3,410.00","3,411.05","3,415.95","3,882.50","2,926.10",1785879,"6,10,04,66,647.25",138824
25-Jan-2023,EQ,"3,425.30","3,435.00","3,405.00","3,436.30","3,432.10","3,429.75","3,423.45","3,882.50","2,926.10",874110,"2,99,24,69,996.45",73515
24-Jan-2023,EQ,"3,425.00","3,451.95","3,417.30","3,414.90","3,432.10","3,436.30","3,434.72","3,882.50","2,926.10",1387863,"4,76,69,25,961.05",100270
23-Jan-2023,EQ,"3,388.00","3,419.00","3,355.60","3,363.10","3,409.25","3,414.90","3,393.67","3,882.50","2,926.10",1067916,"3,62,41,51,502.60",77981
20-Jan-2023,EQ,"3,365.00","3,394.65","3,355.60","3,373.10","3,370.00","3,363.10","3,374.73","4,043.00","2,926.10",1529349,"5,16,11,34,363.85",89365
19-Jan-2023,EQ,"3,380.00","3,387.00","3,361.00","3,390.00","3,370.00","3,373.10","3,375.44","4,043.00","2,926.10",1585044,"5,35,02,23,100.95",97108
18-Jan-2023,EQ,"3,380.00","3,408.95","3,372.25","3,378.40","3,391.00","3,390.00","3,395.06","4,043.00","2,926.10",2421189,"8,22,00,93,824.80",121397
17-Jan-2023,EQ,"3,330.00","3,381.80","3,321.00","3,334.05","3,380.90","3,378.40","3,363.96","4,043.00","2,926.10",1688475,"5,67,99,61,504.85",110473
16-Jan-2023,EQ,"3,317.00","3,353.00","3,298.05","3,374.55","3,335.00","3,334.05","3,329.16","4,043.00","2,926.10",1843607,"6,13,76,68,725.00",134180
13-Jan-2023,EQ,"3,342.90","3,379.00","3,305.00","3,334.35","3,373.25","3,374.55","3,352.96","4,043.00","2,926.10",1742837,"5,84,36,64,088.10",107218
12-Jan-2023,EQ,"3,329.00","3,350.00","3,315.55","3,328.70","3,337.55","3,334.35","3,334.26","4,043.00","2,926.10",2250391,"7,50,33,81,269.75",179303
11-Jan-2023,EQ,"3,290.10","3,349.50","3,271.15","3,286.40","3,328.00","3,328.70","3,324.66","4,043.00","2,926.10",2720512,"9,04,47,71,106.40",144583
10-Jan-2023,EQ,"3,285.00","3,298.00","3,230.10","3,319.95","3,283.00","3,286.40","3,259.17","4,043.00","2,926.10",3864655,"12,59,55,76,966.85",236636
09-Jan-2023,EQ,"3,229.00","3,327.00","3,221.15","3,211.55","3,309.00","3,319.95","3,300.31","4,043.00","2,926.10",2885060,"9,52,16,05,532.85",173806
06-Jan-2023,EQ,"3,300.00","3,301.55","3,200.00","3,311.10","3,213.90","3,211.55","3,239.59","4,043.00","2,926.10",2488376,"8,06,13,09,460.35",177937
05-Jan-2023,EQ,"3,330.20","3,337.30","3,281.95","3,314.65","3,302.65","3,311.10","3,311.44","4,043.00","2,926.10",1826057,"6,04,68,82,556.65",128658
04-Jan-2023,EQ,"3,306.70","3,327.35","3,286.20","3,311.35","3,313.10","3,314.65","3,306.45","4,043.00","2,926.10",1231668,"4,07,24,43,029.75",76844
03-Jan-2023,EQ,"3,252.00","3,320.00","3,245.30","3,261.45","3,312.00","3,311.35","3,300.29","4,043.00","2,926.10",1245178,"4,10,94,51,969.85",78401
02-Jan-2023,EQ,"3,261.00","3,266.85","3,235.20","3,256.70","3,263.00","3,261.45","3,254.07","4,043.00","2,926.10",709547,"2,30,89,12,232.40",51003
30-Dec-2022,EQ,"3,286.05","3,299.00","3,246.20","3,268.75","3,254.60","3,256.70","3,277.33","4,043.00","2,926.10",1163131,"3,81,19,63,963.95",66390
29-Dec-2022,EQ,"3,231.10","3,271.50","3,228.00","3,257.10","3,271.25","3,268.75","3,253.85","4,043.00","2,926.10",1037927,"3,37,72,54,033.45",68726
28-Dec-2022,EQ,"3,249.80","3,266.10","3,226.00","3,259.50","3,258.00","3,257.10","3,249.31","4,043.00","2,926.10",910795,"2,95,94,55,222.70",72613
27-Dec-2022,EQ,"3,269.20","3,273.80","3,231.50","3,252.90","3,262.00","3,259.50","3,251.33","4,043.00","2,926.10",835883,"2,71,77,28,954.70",69823
26-Dec-2022,EQ,"3,228.35","3,272.00","3,225.05","3,228.35","3,254.00","3,252.90","3,257.13","4,043.00","2,926.10",870157,"2,83,42,16,778.05",73081
23-Dec-2022,EQ,"3,217.00","3,266.85","3,217.00","3,259.70","3,231.00","3,228.35","3,239.40","4,043.00","2,926.10",1360281,"4,40,64,95,701.55",114542
22-Dec-2022,EQ,"3,294.00","3,294.00","3,245.10","3,268.55","3,255.00","3,259.70","3,260.93","4,043.00","2,926.10",1384101,"4,51,34,51,540.20",97031
21-Dec-2022,EQ,"3,249.00","3,283.05","3,240.00","3,243.95","3,262.25","3,268.55","3,260.50","4,043.00","2,926.10",1432566,"4,67,08,87,164.80",106805
