DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
10-Feb-2026,EQ,"2,949.80","3,011.60","2,943.50","2,948.20","2,983.00","2,984.60","2,985.30","4,052.00","2,866.60",3547763,"10,59,11,45,975.60",220699
09-Feb-2026,EQ,"2,959.10","2,977.00","2,937.50","2,941.60","2,951.00","2,948.20","2,949.18","4,052.00","2,866.60",2380318,"7,01,99,76,408.70",141131
06-Feb-2026,EQ,"2,976.60","2,985.00","2,916.00","2,991.50","2,940.30","2,941.60","2,934.09","4,150.00","2,866.60",4687389,"13,75,32,36,280.20",347514
05-Feb-2026,EQ,"2,990.00","3,029.70","2,972.30","2,999.10","2,991.70","2,991.50","3,000.10","4,150.00","2,866.60",3521545,"10,56,50,02,490.30",178696
04-Feb-2026,EQ,"3,120.00","3,120.00","2,986.00","3,225.30","2,999.90","2,999.10","3,020.56","4,150.00","2,866.60",10852595,"32,78,09,47,704.20",503705
03-Feb-2026,EQ,"3,350.00","3,350.00","3,186.30","3,169.60","3,220.00","3,225.30","3,231.27","4,150.00","2,866.60",4366060,"14,10,79,06,461.20",204924
02-Feb-2026,EQ,"3,198.00","3,198.00","3,134.00","3,186.90","3,167.00","3,169.60","3,164.69","4,150.00","2,866.60",2636272,"8,34,29,86,354.50",108170
01-Feb-2026,EQ,"3,123.80","3,234.00","3,105.20","3,123.90","3,178.20","3,186.90","3,182.48","4,156.35","2,866.60",3012937,"9,58,86,09,199.60",145412
30-Jan-2026,EQ,"3,141.00","3,141.00","3,092.00","3,144.40","3,129.00","3,123.90","3,121.64","4,156.35","2,866.60",3022068,"9,43,38,21,429.30",80949
29-Jan-2026,EQ,"3,200.10","3,200.10","3,125.60","3,200.10","3,139.00","3,144.40","3,143.88","4,156.35","2,866.60",2457641,"7,72,65,26,569.30",120763
28-Jan-2026,EQ,"3,176.00","3,205.20","3,170.60","3,158.00","3,199.00","3,200.10","3,191.18","4,156.35","2,866.60",2751234,"8,77,96,79,675.40",151790
27-Jan-2026,EQ,"3,175.00","3,175.00","3,130.00","3,162.50","3,167.00","3,158.00","3,146.85","4,156.35","2,866.60",4279874,"13,46,81,14,372.20",149619
23-Jan-2026,EQ,"3,190.30","3,194.50","3,152.00","3,150.40","3,157.00","3,162.50","3,176.59","4,191.35","2,866.60",2068857,"6,57,19,05,073.60",89144
22-Jan-2026,EQ,"3,150.00","3,160.00","3,122.30","3,122.60","3,152.20","3,150.40","3,142.82","4,191.35","2,866.60",2269827,"7,13,36,63,295.30",91528
21-Jan-2026,EQ,"3,100.00","3,138.50","3,082.00","3,102.30","3,122.00","3,122.60","3,112.68","4,191.35","2,866.60",2015150,"6,27,25,10,286.10",138565
20-Jan-2026,EQ,"3,151.60","3,160.00","3,091.10","3,163.60","3,104.20","3,102.30","3,127.35","4,191.35","2,866.60",4499273,"14,07,08,02,629.30",152322
19-Jan-2026,EQ,"3,188.00","3,220.00","3,152.10","3,206.70","3,161.00","3,163.60","3,168.85","4,191.35","2,866.60",3387562,"10,73,46,71,175.00",177858
16-Jan-2026,EQ,"3,219.40","3,221.90","3,171.00","3,192.50","3,209.00","3,206.70","3,200.62","4,322.95","2,866.60",4293470,"13,74,17,76,327.90",149121
14-Jan-2026,EQ,"3,260.00","3,260.00","3,183.00","3,268.00","3,197.80","3,192.50","3,205.64","4,322.95","2,866.60",3539511,"11,34,63,86,248.00",146477
13-Jan-2026,EQ,"3,245.00","3,280.00","3,210.50","3,239.60","3,263.00","3,268.00","3,251.44","4,322.95","2,866.60",5645341,"18,35,54,97,917.00",198353
12-Jan-2026,EQ,"3,203.00","3,252.00","3,174.30","3,207.80","3,243.00","3,239.60","3,212.14","4,322.95","2,866.60",2228342,"7,15,77,53,630.70",126371
09-Jan-2026,EQ,"3,191.00","3,229.70","3,191.00","3,203.90","3,212.60","3,207.80","3,209.44","4,322.95","2,866.60",1938673,"6,22,20,59,522.60",134640
08-Jan-2026,EQ,"3,286.90","3,286.90","3,182.00","3,295.60","3,196.00","3,203.90","3,211.48","4,322.95","2,866.60",4159336,"13,35,76,35,924.00",191554
07-Jan-2026,EQ,"3,242.90","3,300.60","3,223.20","3,255.80","3,294.00","3,295.60","3,284.64","4,322.95","2,866.60",1989442,"6,53,45,92,137.10",87338
06-Jan-2026,EQ,"3,210.00","3,263.20","3,205.00","3,216.10","3,256.80","3,255.80","3,242.40","4,322.95","2,866.60",2912325,"9,44,29,29,253.60",163408
05-Jan-2026,EQ,"3,240.50","3,247.00","3,191.00","3,250.70","3,213.00","3,216.10","3,220.21","4,322.95","2,866.60",2341703,"7,54,07,84,169.40",115281
02-Jan-2026,EQ,"3,234.00","3,254.30","3,219.50","3,227.40","3,245.70","3,250.70","3,241.10","4,322.95","2,866.60",1184324,"3,83,85,16,572.70",63356
01-Jan-2026,EQ,"3,215.00","3,234.10","3,198.20","3,206.20","3,225.00","3,227.40","3,219.97","4,322.95","2,866.60",1255735,"4,04,34,25,200.10",56642
31-Dec-2025,EQ,"3,240.00","3,246.00","3,198.50","3,246.80","3,210.00","3,206.20","3,216.08","4,322.95","2,866.60",3362634,"10,81,45,02,991.90",145683
30-Dec-2025,EQ,"3,250.00","3,267.50","3,239.50","3,251.50","3,255.00","3,246.80","3,250.64","4,322.95","2,866.60",2807593,"9,12,64,73,823.50",184541
29-Dec-2025,EQ,"3,280.00","3,288.00","3,242.90","3,280.00","3,256.00","3,251.50","3,254.98","4,322.95","2,866.60",2079473,"6,76,86,50,796.40",117390
26-Dec-2025,EQ,"3,313.10","3,320.00","3,271.80","3,319.00","3,276.80","3,280.00","3,287.91","4,322.95","2,866.60",1176664,"3,86,87,59,940.60",89363
24-Dec-2025,EQ,"3,304.10","3,327.10","3,296.10","3,310.00","3,313.10","3,319.00","3,312.41","4,322.95","2,866.60",1367708,"4,53,04,13,590.90",84873
23-Dec-2025,EQ,"3,319.90","3,319.90","3,293.50","3,324.90","3,305.10","3,310.00","3,304.76","4,322.95","2,866.60",2365420,"7,81,71,55,849.90",139216
22-Dec-2025,EQ,"3,310.00","3,328.60","3,291.00","3,282.00","3,324.90","3,324.90","3,314.14","4,322.95","2,866.60",2632816,"8,72,55,23,457.10",101733
19-Dec-2025,EQ,"3,299.00","3,317.90","3,278.80","3,280.80","3,285.00","3,282.00","3,295.00","4,475.00","2,866.60",3902511,"12,85,87,80,664.30",122711
18-Dec-2025,EQ,"3,228.00","3,287.80","3,221.00","3,217.80","3,281.20","3,280.80","3,260.45","4,475.00","2,866.60",2307422,"7,52,32,25,819.80",166551
17-Dec-2025,EQ,"3,200.50","3,236.90","3,200.50","3,205.10","3,217.80","3,217.80","3,218.60","4,475.00","2,866.60",1376350,"4,42,99,15,958.70",88357
16-Dec-2025,EQ,"3,220.00","3,220.00","3,191.10","3,230.20","3,206.60","3,205.10","3,204.68","4,475.00","2,866.60",1734623,"5,55,89,13,487.80",97265
